site_id,site_name,region,lat,lon,property,depth_cm,value,unit,ci50_lower,ci50_upper
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,cation_exchange_capacity,0-20,15.4,cmol(+)/kg,14.4,16.6
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,cation_exchange_capacity,20-50,15.4,cmol(+)/kg,14.4,16.6
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,slope_angle,0,10.0,°,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,fcc,0-50,Low K,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,land_cover_2015,0,Cultivated and managed vegetation / agriculture,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,crop_cover_2015,0,80,%,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,land_cover_2016,0,Cultivated and managed vegetation / agriculture,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,crop_cover_2016,0,80,%,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,land_cover_2017,0,Cultivated and managed vegetation / agriculture,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,crop_cover_2017,0,79,%,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,land_cover_2018,0,Cultivated and managed vegetation / agriculture,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,crop_cover_2018,0,80,%,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,land_cover_2019,0,Cultivated and managed vegetation / agriculture,,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,crop_cover_2019,0,80,%,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,aluminium_extractable,0-20,23.5,ppm,7.9,66.5
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,aluminium_extractable,20-50,23.5,ppm,8.5,62.1
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,ph,0-20,6.8,,6.7,6.9
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,ph,20-50,6.9,,6.7,7.1
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,nitrogen_total,0-20,1.2,g/kg,1.1,1.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,nitrogen_total,20-50,0.9,g/kg,0.8,1.0
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,phosphorous_extractable,0-20,15.4,ppm,13.4,17.8
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,phosphorous_extractable,20-50,12.5,ppm,10.8,14.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,potassium_extractable,0-20,108.9,ppm,88.8,133.6
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,potassium_extractable,20-50,98.5,ppm,80.3,120.8
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,magnesium_extractable,0-20,199.3,ppm,132.7,299.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,magnesium_extractable,20-50,199.3,ppm,142.0,279.7
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,calcium_extractable,0-20,491.7,ppm,306.3,789.1
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,calcium_extractable,20-50,444.9,ppm,258.9,763.8
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,iron_extractable,0-20,39.4,ppm,34.3,45.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,iron_extractable,20-50,19.1,ppm,16.6,22.0
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,zinc_extractable,0-20,2.0,ppm,1.8,2.2
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,zinc_extractable,20-50,1.5,ppm,0,0
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,sulphur_extractable,0-20,26.1,ppm,17.1,39.6
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,sulphur_extractable,20-50,17.2,ppm,8.9,32.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,carbon_total,0-20,21.2,g/kg,14.8,30.1
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,carbon_total,20-50,19.1,g/kg,14.3,25.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,carbon_organic,0-20,7.2,g/kg,6.1,8.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,carbon_organic,20-50,4.5,g/kg,4.1,4.9
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,bulk_density,0-20,1.4,g/cm³,1.3,1.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,bulk_density,20-50,1.4,g/cm³,1.3,1.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,bedrock_depth,0-200,194,cm,180.0,208.0
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,stone_content,0-20,2.7,%,1.8,3.8
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,stone_content,20-50,3.1,%,2.1,4.3
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,silt_content,0-20,22,%,18.6,25.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,silt_content,20-50,21,%,17.6,24.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,clay_content,0-20,25,%,21.6,28.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,clay_content,20-50,29,%,25.6,32.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,sand_content,0-20,49,%,44.3,53.7
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,sand_content,20-50,48,%,42.6,53.4
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,texture_class,0-20,Sandy Clay Loam,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,texture_class,20-50,Sandy Clay Loam,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,cation_exchange_capacity,0-20,8.0,cmol(+)/kg,5.9,10.8
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,cation_exchange_capacity,20-50,8.0,cmol(+)/kg,5.4,11.6
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,slope_angle,0,2.2,°,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,fcc,0-50,No constraints,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,land_cover_2015,0,Urban / built up,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,crop_cover_2015,0,0,%,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,land_cover_2016,0,Urban / built up,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,crop_cover_2016,0,0,%,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,land_cover_2017,0,Urban / built up,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,crop_cover_2017,0,0,%,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,land_cover_2018,0,Urban / built up,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,crop_cover_2018,0,0,%,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,land_cover_2019,0,Urban / built up,,,
SA3,Kaapzicht Estate,"Stellenbosch, Western Cape, South Africa",-33.9322,18.8602,crop_cover_2019,0,0,%,,
